model,category,value,count,pct_of_all_examples
deepseek-coder-1.3b-instruct,structural_mismatch,join_structure_mismatch,250,24.178
deepseek-coder-1.3b-instruct,structural_mismatch,table_selection_mismatch,221,21.373
deepseek-coder-1.3b-instruct,structural_mismatch,literal_or_value_mismatch,174,16.828
deepseek-coder-1.3b-instruct,structural_mismatch,select_or_subquery_count_mismatch,151,14.603
deepseek-coder-1.3b-instruct,structural_mismatch,subquery_structure_mismatch,130,12.573
deepseek-coder-1.3b-instruct,structural_mismatch,aggregation_mismatch,101,9.768
deepseek-coder-1.3b-instruct,structural_mismatch,where_clause_mismatch,81,7.834
deepseek-coder-1.3b-instruct,structural_mismatch,set_operation_mismatch,60,5.803
deepseek-coder-1.3b-instruct,structural_mismatch,group_by_mismatch,47,4.545
deepseek-coder-1.3b-instruct,structural_mismatch,limit_mismatch,41,3.965
deepseek-coder-1.3b-instruct,structural_mismatch,order_by_mismatch,40,3.868
deepseek-coder-1.3b-instruct,structural_mismatch,distinct_mismatch,39,3.772
deepseek-coder-1.3b-instruct,structural_mismatch,other_semantic_mismatch,37,3.578
deepseek-coder-1.3b-instruct,structural_mismatch,having_mismatch,25,2.418
